city,lat,lon,temp_max,temp,humidity,cloudiness,wind_speed,country,date
izhma,65.0083,53.9113,265.4,265.4,97,60,1.6,RU,1635205945
jogbani,26.4167,87.25,293.59,293.59,84,0,1.67,IN,1635205946
xuddur,4.1213,43.8894,295.71,295.71,82,70,5.04,SO,1635205946
kasungu,-13.0333,33.4833,295.62,295.62,52,41,4.3,MW,1635205947
mataura,-46.1927,168.8643,293.37,293.37,59,82,0.27,NZ,1635205948
ust-nera,64.5667,143.2,261.17,261.17,95,98,1.27,RU,1635205776
whitehorse,60.7161,-135.0538,272.58,272.39,80,90,3.58,CA,1635205899
cherskiy,68.75,161.3,249.7,249.7,95,99,1.12,RU,1635205715
atuona,-9.8,-139.0333,298.77,298.77,73,27,7.32,PF,1635205687
lasa,46.6166,10.7002,277.64,277.63,49,94,0.82,IT,1635205785
guerrero negro,27.9769,-114.0611,293.49,293.49,70,32,7.69,MX,1635205949
kloulklubed,7.0419,134.2556,302.09,302.09,63,27,4.1,PW,1635205950
ponta do sol,32.6667,-17.1,294.5,293.67,67,44,2.39,PT,1635205950
jamestown,42.097,-79.2353,287.77,286.79,91,75,1.34,US,1635205676
kaitong,44.8135,123.15,280.55,280.55,44,78,3.55,CN,1635205951
high prairie,55.4334,-116.4858,279.76,279.76,76,100,1.42,CA,1635205951
caravelas,-17.7125,-39.2481,297.12,297.12,93,100,1.91,BR,1635205371
salalah,17.0151,54.0924,296.92,296.92,70,70,0.52,OM,1635205952
broome,42.2506,-75.833,291.36,290.21,80,20,1.79,US,1635205230
constitucion,-35.3333,-72.4167,288.08,288.08,75,77,6.51,CL,1635205378
bambous virieux,-20.3428,57.7575,295.49,295.29,83,40,5.66,MU,1635205953
maniitsoq,65.4167,-52.9,272.81,272.81,45,0,4.32,GL,1635205438
saint-philippe,-21.3585,55.7679,294.9,293.88,80,39,5.88,RE,1635205954
ilebo,-4.3167,20.5833,293.69,293.69,99,68,0.26,CD,1635205955
rundu,-17.9333,19.7667,296.83,296.83,56,100,0.83,NA,1635205955
oranjemund,-28.55,16.4333,287.46,287.46,91,64,1.35,NA,1635205260
la rioja,42.25,-2.5,280.64,279.94,85,77,1.8,ES,1635205956
stornoway,58.2093,-6.3865,281.13,280.85,87,40,2.57,GB,1635205956
lebu,-37.6167,-73.65,284.57,284.57,92,6,6.12,CL,1635205957
souillac,-20.5167,57.5167,295.57,295.36,83,40,5.66,MU,1635205840
mantua,45.1667,10.7833,284.1,279.53,86,93,0.8,IT,1635205958
calamar,10.2511,-74.9146,300.12,300.12,92,84,3.14,CO,1635205958
nome,64.5011,-165.4064,270.19,270.19,69,90,6.17,US,1635205464
kutum,14.2,24.6667,295.26,295.26,24,49,4.06,SD,1635205959
clyde river,70.4692,-68.5914,269.28,269.28,74,90,1.03,CA,1635205960
lata,40.1629,-8.3327,288.05,288.03,92,0,1.6,PT,1635205389
faanui,-16.4833,-151.75,296.67,296.67,91,98,3.46,PF,1635205937
padang,-0.9492,100.3543,297.18,297.18,86,90,1.21,ID,1635205404
havoysund,70.9963,24.6622,271.64,271.64,85,99,11.24,NO,1635205961
broken hill,-31.95,141.4333,291.99,291.99,20,0,4.63,AU,1635205365
tigre,-34.426,-58.5796,299.15,296.53,38,0,2.06,AR,1635205961
port-gentil,-0.7193,8.7815,297.13,297.13,100,90,1.03,GA,1635205962
banyo,6.75,11.8167,292.02,292.02,91,98,1.3,CM,1635205962
mobile,30.7835,-88.2,300.03,298.45,75,20,2.06,US,1635205456
abu samrah,35.3029,37.1841,290.06,290.06,64,42,1.69,SY,1635205963
kruisfontein,-34.0033,24.7314,286.03,286.03,95,6,2.25,ZA,1635205964
oksfjord,70.2396,22.3479,271.66,270.72,93,80,4.42,NO,1635205964
castro,-24.7911,-50.0119,287.7,287.7,93,57,1.51,BR,1635205965
coronon,6.8792,125.4489,298.11,298.11,81,100,0.97,PH,1635205965
solnechnyy,50.7214,136.6319,278.68,278.68,69,45,2.15,RU,1635205966
juneau,58.3019,-134.4197,279.73,277.95,92,90,0.0,US,1635205967
anadyr,64.75,177.4833,257.43,257.43,78,20,7.0,RU,1635205967
fortuna,40.5982,-124.1573,289.22,288.79,66,90,0.89,US,1635205774
maracacume,-2.0428,-45.9592,298.31,298.31,82,50,1.71,BR,1635205968
victoria,22.2855,114.1577,297.22,296.09,74,99,0.89,HK,1635205772
albion,42.2431,-84.753,282.25,281.26,92,90,2.57,US,1635205969
iqaluit,63.7506,-68.5145,273.0,272.98,86,90,1.79,CA,1635205701
nixa,37.0434,-93.2944,287.14,284.44,82,4,1.34,US,1635205970
bengkulu,-3.8004,102.2655,297.24,297.24,88,100,1.33,ID,1635205832
luderitz,-26.6481,15.1594,286.87,286.87,90,3,2.7,NA,1635205399
sehithwa,-20.4667,22.7167,297.2,297.2,52,42,1.67,BW,1635205971
meulaboh,4.1363,96.1285,297.12,297.12,88,91,1.62,ID,1635205889
portland,45.5234,-122.6762,285.84,284.4,90,90,1.79,US,1635205863
vostok,46.4856,135.8833,279.62,279.62,57,1,1.17,RU,1635205729
hamilton,39.1834,-84.5333,285.51,284.77,91,90,0.45,US,1635205391
natagaima,3.6206,-75.0941,299.99,299.99,75,49,0.23,CO,1635205972
sao jose da coroa grande,-8.8978,-35.1478,298.82,298.82,73,44,5.76,BR,1635205973
lewiston,44.1003,-70.2148,280.72,279.11,98,90,2.57,US,1635205747
bagdarin,54.4333,113.6,271.5,271.5,73,89,1.5,RU,1635205974
chupa,66.27,33.0549,273.06,273.06,98,100,3.5,RU,1635205974
shimoda,34.6667,138.95,290.35,288.76,83,100,7.12,JP,1635205377
busselton,-33.65,115.3333,282.62,282.62,72,97,0.71,AU,1635205693
norman wells,65.282,-126.8329,268.17,268.17,93,90,1.54,CA,1635205975
kodiak,57.79,-152.4072,279.88,279.88,70,90,5.14,US,1635205838
rantauprapat,2.1,99.8333,296.65,296.65,96,97,0.69,ID,1635205975
caninde,-4.3589,-39.3117,299.03,299.03,65,7,1.4,BR,1635205976
avarua,-21.2078,-159.775,298.18,298.18,61,75,5.14,CK,1635205679
vredendal,-31.6683,18.5012,294.38,294.38,32,77,3.63,ZA,1635205977
kirakira,-10.4544,161.9205,303.46,303.46,66,12,5.11,SB,1635205977
yagodnoye,62.55,149.6667,256.29,256.29,89,27,1.18,RU,1635205978
kaitangata,-46.2817,169.8464,286.36,286.36,79,100,3.09,NZ,1635205978
mapiripan,2.8892,-72.1256,296.42,296.42,96,98,2.76,CO,1635205797
kemijarvi,66.7131,27.4306,271.98,271.98,98,100,2.15,FI,1635205979
port augusta,-32.5,137.7667,298.54,298.54,14,22,5.95,AU,1635205979
bitung,1.4451,125.1824,301.62,301.62,69,31,1.85,ID,1635205980
lamar,33.6668,-95.5836,299.96,296.34,57,1,2.57,US,1635205980
alamosa,37.4695,-105.87,291.88,291.88,25,13,7.84,US,1635205981
leh,34.1667,77.5833,269.84,269.84,70,20,0.85,IN,1635205982
cabo san lucas,22.8909,-109.9124,304.05,302.27,57,1,5.66,MX,1635205805
zlobin,45.2924,14.6541,277.13,276.94,68,0,0.51,HR,1635205982
bathsheba,13.2167,-59.5167,301.49,301.49,74,40,9.77,BB,1635205688
port lincoln,-34.7333,135.8667,294.5,294.5,39,100,7.74,AU,1635205738
san quintin,30.4833,-115.95,292.2,292.2,72,6,6.24,MX,1635205695
abnub,27.2696,31.1511,292.27,292.27,52,0,3.87,EG,1635205983
arman,59.7,150.1667,269.42,269.42,63,98,1.11,RU,1635205984
novoanninskiy,50.5287,42.6747,271.39,271.39,71,15,2.07,RU,1635205984
baykit,61.67,96.37,268.48,268.48,88,92,3.4,RU,1635205985
auki,-8.7676,160.7034,303.72,303.72,61,43,1.77,SB,1635205986
kiunga,-6.1219,141.2906,302.41,302.41,72,97,0.32,PG,1635205986
camana,-16.6228,-72.7111,290.25,290.25,78,18,2.79,PE,1635205987
gigmoto,13.7796,124.39,301.25,301.25,81,99,4.19,PH,1635205987
torbay,47.6666,-52.7314,277.74,276.8,81,90,5.14,CA,1635205988
wilmington,34.2257,-77.9447,295.32,293.63,84,40,0.0,US,1635205830
raudeberg,61.9875,5.1352,282.52,280.92,93,98,1.79,NO,1635205989
aklavik,68.2191,-135.0107,269.61,269.61,96,96,0.75,CA,1635205368
tuatapere,-46.1333,167.6833,288.66,288.66,85,88,1.39,NZ,1635205989
moose factory,51.2585,-80.6094,277.15,277.14,93,90,1.54,CA,1635205414
gisborne,-38.6533,178.0042,297.56,297.56,67,34,2.54,NZ,1635205819
peterhead,57.5058,-1.7981,281.37,279.32,72,52,6.32,GB,1635205991
sur,22.5667,59.5289,299.35,299.35,70,1,4.31,OM,1635205916
mitu,1.1983,-70.1733,294.76,294.76,99,100,1.09,CO,1635205991
ozernovskiy,51.5,156.5167,279.16,279.16,81,39,6.5,RU,1635205992
hami,42.8,93.45,280.54,280.54,36,0,3.57,CN,1635205953
gamba,-2.65,10.0,297.6,297.6,90,100,2.79,GA,1635205992
vardo,70.3705,31.1107,274.59,274.59,78,100,10.91,NO,1635205863
klaksvik,62.2266,-6.589,279.66,279.66,76,99,3.62,FO,1635205993
tasiilaq,65.6145,-37.6368,274.24,274.24,78,100,3.3,GL,1635205703
berlevag,70.8578,29.0864,274.2,274.2,76,97,12.01,NO,1635205786
skjervoy,70.0311,20.9714,273.47,273.47,71,98,6.97,NO,1635205994
mount isa,-20.7333,139.5,306.02,306.02,22,5,3.6,AU,1635205851
alice springs,-23.7,133.8833,301.9,301.9,42,7,5.14,AU,1635205380
comodoro rivadavia,-45.8667,-67.5,288.07,288.07,41,75,9.26,AR,1635205995
new norfolk,-42.7826,147.0587,287.4,286.48,41,19,0.84,AU,1635205772
avera,33.194,-82.5271,296.9,295.16,82,49,3.27,US,1635205432
puerto carreno,6.189,-67.4859,301.02,301.02,73,98,0.98,CO,1635205262
longyearbyen,78.2186,15.6401,266.06,266.06,58,0,7.2,SJ,1635205996
jaguaruna,-28.615,-49.0256,291.07,291.07,86,0,2.21,BR,1635205997
whyalla,-33.0333,137.5833,297.09,297.09,17,47,6.17,AU,1635205997
saint-augustin,51.226,-58.6502,276.27,276.27,69,39,3.81,CA,1635205998
riyadh,24.6877,46.7219,296.23,296.23,43,0,3.14,SA,1635205998
wanning,18.8003,110.3967,295.69,295.69,85,100,4.26,CN,1635205958
yulara,-25.2406,130.9889,300.06,300.06,36,1,3.6,AU,1635205874
nizwa,22.9333,57.5333,297.82,297.82,47,1,0.82,OM,1635205999
saint-francois,46.4154,3.9054,283.53,283.1,96,90,1.54,FR,1635206000
leningradskiy,69.3833,178.4167,260.6,260.6,94,100,7.12,RU,1635206001
weyburn,49.6668,-103.8511,280.47,280.27,70,89,10.8,CA,1635206001
cockburn town,21.4612,-71.1419,301.38,301.38,78,29,7.55,TC,1635205431
kapoeta,4.7717,33.5903,300.97,300.97,46,83,6.0,SS,1635206002
yar-sale,66.8333,70.8333,265.23,265.23,93,88,1.69,RU,1635205456
tessalit,20.1986,1.0114,302.81,302.81,19,81,3.68,ML,1635206002
ostrovnoy,68.0531,39.5131,266.99,266.99,93,71,2.76,RU,1635205330
hay river,60.8156,-115.7999,279.14,279.14,81,75,3.09,CA,1635205941
uyuni,-20.4597,-66.825,283.27,283.27,36,12,10.7,BO,1635206003
nerchinsk,51.9833,116.5833,272.92,272.92,76,6,2.32,RU,1635206004
slavyanka,42.8633,131.3847,284.25,284.25,65,0,1.07,RU,1635206005
scalea,39.813,15.7956,290.01,290.01,75,93,5.91,IT,1635206005
kodinar,20.7903,70.7031,296.6,296.6,51,22,5.2,IN,1635206006
fort nelson,58.8053,-122.7002,271.92,271.92,100,90,1.03,CA,1635205767
esperance,-33.8667,121.9,286.06,286.06,63,64,1.79,AU,1635206007
chokurdakh,70.6333,147.9167,242.88,242.88,100,86,0.74,RU,1635206008
lakselv,70.0513,24.9718,271.05,270.05,86,90,1.54,NO,1635206008
okha,53.5739,142.9478,278.58,278.58,72,17,2.34,RU,1635206009
vila velha,-20.3297,-40.2925,296.12,296.12,83,75,5.14,BR,1635206009
saint-joseph,-21.3667,55.6167,294.35,293.42,79,29,5.47,RE,1635206010
muli,2.9167,73.5667,301.31,301.31,76,100,7.73,MV,1635205900
geraldton,-28.7667,114.6,287.38,287.38,88,75,4.12,AU,1635205826
port moresby,-9.4431,147.1797,301.83,301.83,74,75,1.54,PG,1635206011
kalmunai,7.4167,81.8167,298.61,298.61,85,95,3.08,LK,1635206011
kultayevo,57.8943,55.9392,271.14,271.14,80,90,3.0,RU,1635206012
asau,46.4333,26.4,273.86,273.76,68,0,1.17,RO,1635205452
waddan,29.1614,16.139,294.5,294.5,40,0,1.25,LY,1635206013
mattawa,46.7379,-119.9028,289.44,286.46,43,98,7.11,US,1635205815
xuanhua,40.6103,115.0447,281.7,281.7,39,11,3.18,CN,1635206013
porbandar,21.6422,69.6093,297.45,297.45,50,0,3.42,IN,1635205464
araouane,18.9048,-3.5265,302.88,302.88,20,5,4.66,ML,1635206014
arlit,18.7369,7.3853,301.26,301.26,13,0,1.93,NE,1635205450
jeremie,18.65,-74.1167,300.23,300.23,79,44,0.59,HT,1635206015
tual,-5.6667,132.75,301.8,301.8,74,58,4.16,ID,1635206015
christchurch,-43.5333,172.6333,295.94,289.95,72,75,0.45,NZ,1635206015
san isidro,-12.1167,-77.05,292.05,290.05,81,90,0.89,PE,1635206016
pineville,31.3224,-92.4343,301.31,298.98,71,0,2.81,US,1635206016
lompoc,34.6391,-120.4579,292.35,289.51,76,40,5.66,US,1635205718
kavieng,-2.5744,150.7967,301.97,301.97,70,96,1.97,PG,1635205720
xining,36.6167,101.7667,274.69,274.69,94,100,1.14,CN,1635206018
labuhan,-6.8844,112.2051,301.1,301.1,71,43,2.88,ID,1635205424
birin,26.8865,88.0718,284.51,284.51,86,0,2.25,NP,1635206018
namibe,-15.1961,12.1522,290.17,290.17,81,12,3.56,AO,1635206019
taguatinga,-12.3857,-46.5711,300.48,300.48,62,74,0.48,BR,1635206019
westport,41.1415,-73.3579,293.82,290.22,92,100,0.45,US,1635205933
butaritari,3.0707,172.7902,300.79,300.79,75,41,3.06,KI,1635205737
tabou,4.423,-7.3528,298.04,298.04,84,100,3.53,CI,1635206020
yaan,7.3833,8.5667,296.36,296.36,94,99,2.61,NG,1635206020
hovd,48.0056,91.6419,273.27,273.27,52,8,0.14,MN,1635206021
yumen,40.2833,97.2,276.15,276.15,54,19,1.94,CN,1635205415
san carlos de bariloche,-41.1456,-71.3082,284.01,284.01,66,75,9.77,AR,1635206021
ahipara,-35.1667,173.1667,293.6,293.6,65,24,2.52,NZ,1635206022
dubbo,-32.25,148.6167,291.22,291.22,48,0,4.12,AU,1635206023
turukhansk,65.8167,87.9833,263.52,263.52,97,99,3.34,RU,1635206023
igarka,67.4667,86.5833,263.74,263.74,96,93,3.6,RU,1635206024
katherine,-14.4667,132.2667,304.33,304.33,55,20,3.6,AU,1635206024
catalina,32.5056,-110.9211,303.29,302.43,20,0,1.79,US,1635206025
yuksekova,37.5736,44.2872,277.09,277.09,48,98,1.01,TR,1635206025
mahebourg,-20.4081,57.7,295.51,295.31,83,40,5.66,MU,1635206025
qeshm,26.9581,56.2719,301.09,297.08,67,0,2.96,IR,1635206026
bjornevatn,69.6672,29.9847,269.34,269.34,93,90,3.6,NO,1635206026
chuy,-33.6971,-53.4616,289.01,289.01,76,0,3.31,UY,1635205857
kahului,20.8947,-156.47,302.58,300.83,68,20,11.32,US,1635206027
grand bend,43.3168,-81.7498,281.1,279.27,68,100,6.26,CA,1635206027
santa rosa,14.3122,121.1114,300.98,300.5,75,71,4.21,PH,1635206028
chongwe,-15.3292,28.682,295.25,295.25,48,28,2.93,ZM,1635206028
samarai,-10.6167,150.6667,301.68,301.68,73,51,4.66,PG,1635205450
mount gambier,-37.8333,140.7667,286.1,286.1,67,49,4.63,AU,1635205917
brownsville,25.9018,-97.4975,304.21,301.46,80,93,2.68,US,1635206029
dingle,10.9995,122.6711,300.27,300.27,84,99,3.25,PH,1635206029
kuito,-12.3833,16.9333,289.59,289.59,81,56,2.66,AO,1635205849
noumea,-22.2763,166.4572,301.14,299.82,99,0,5.64,NC,1635206030
xichang,27.8964,102.2634,287.34,287.34,85,78,0.91,CN,1635206030
palana,59.1167,159.9667,272.49,272.49,84,100,9.82,RU,1635206031
ramshir,30.8946,49.4092,290.01,290.01,18,0,1.98,IR,1635206031
madaoua,14.073,5.96,303.45,303.45,16,11,3.68,NE,1635206031
tommot,58.9564,126.2925,274.32,274.32,94,99,3.49,RU,1635206032
tapes,-30.6733,-51.3958,291.74,291.74,64,0,2.82,BR,1635206032
walvis bay,-22.9575,14.5053,288.76,287.68,82,0,2.57,NA,1635206033
melilla,35.2937,-2.9383,291.36,291.36,77,20,2.06,ES,1635205920
at-bashi,41.1702,75.8106,270.65,270.65,65,7,1.55,KG,1635206034
belaya gora,68.5333,146.4167,254.63,254.63,95,90,0.76,RU,1635206034
sao filipe,14.8961,-24.4956,299.26,299.26,76,43,3.98,CV,1635206035
hailar,49.2,119.7,273.64,273.64,79,27,5.04,CN,1635206035
pavilosta,56.8879,21.1859,283.12,283.1,76,100,6.57,LV,1635206036
marzuq,14.4,46.4667,294.0,294.0,50,21,0.47,YE,1635206037
zhigansk,66.7697,123.3711,268.08,268.08,96,100,5.57,RU,1635206038
shitanjing,39.2342,106.3439,278.22,278.22,36,83,1.06,CN,1635206039
ontario,34.0633,-117.6509,289.07,286.43,91,90,1.79,US,1635205949
angoche,-16.2325,39.9086,297.93,297.93,92,2,1.82,MZ,1635205926
huilong,31.8111,121.655,292.0,291.18,66,55,1.3,CN,1635206039
murgab,37.4966,61.9714,283.08,283.08,62,8,0.0,TM,1635206040
harper,4.375,-7.7169,298.61,298.61,80,100,4.12,LR,1635206040
launceston,-41.45,147.1667,287.12,286.1,64,90,3.13,AU,1635206041
boden,65.8252,21.6886,273.15,273.15,99,100,0.35,SE,1635206042
lagoa,39.05,-27.9833,292.74,292.74,73,1,5.76,PT,1635205910
barranca,-10.75,-77.7667,289.91,289.91,84,38,4.07,PE,1635206004
road town,18.4167,-64.6167,301.59,301.17,78,40,3.6,VG,1635206043
vondrozo,-22.8167,47.2833,290.98,290.98,98,50,0.57,MG,1635206043
